,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
103,andaman-&-nicobar-islands,2020,3,744102,13934,43077189.84,"insert into top_trans values (103,'andaman-&-nicobar-islands',2020,3,744102,13934,43077189.8428441);"
104,andaman-&-nicobar-islands,2020,3,744202,5779,11975748.71,"insert into top_trans values (104,'andaman-&-nicobar-islands',2020,3,744202,5779,11975748.7078769);"
105,andaman-&-nicobar-islands,2020,3,744107,4753,7628018.669,"insert into top_trans values (105,'andaman-&-nicobar-islands',2020,3,744107,4753,7628018.66946462);"
106,andaman-&-nicobar-islands,2020,3,744104,3468,7353834.513,"insert into top_trans values (106,'andaman-&-nicobar-islands',2020,3,744104,3468,7353834.51320935);"
107,andaman-&-nicobar-islands,2020,3,744112,3422,6067986.696,"insert into top_trans values (107,'andaman-&-nicobar-islands',2020,3,744112,3422,6067986.69611179);"
108,andaman-&-nicobar-islands,2020,3,744301,3071,13352610.53,"insert into top_trans values (108,'andaman-&-nicobar-islands',2020,3,744301,3071,13352610.5315597);"
109,andaman-&-nicobar-islands,2020,3,744205,2991,7535645.789,"insert into top_trans values (109,'andaman-&-nicobar-islands',2020,3,744205,2991,7535645.78859366);"
110,andaman-&-nicobar-islands,2020,4,744103,46884,138264791.5,"insert into top_trans values (110,'andaman-&-nicobar-islands',2020,4,744103,46884,138264791.548921);"
111,andaman-&-nicobar-islands,2020,4,744101,40392,136401368,"insert into top_trans values (111,'andaman-&-nicobar-islands',2020,4,744101,40392,136401368.021665);"
112,andaman-&-nicobar-islands,2020,4,744105,34410,87838226.94,"insert into top_trans values (112,'andaman-&-nicobar-islands',2020,4,744105,34410,87838226.9363342);"
113,andaman-&-nicobar-islands,2020,4,744102,26694,76348598.32,"insert into top_trans values (113,'andaman-&-nicobar-islands',2020,4,744102,26694,76348598.3223836);"
114,andaman-&-nicobar-islands,2020,4,744202,10949,25543799.07,"insert into top_trans values (114,'andaman-&-nicobar-islands',2020,4,744202,10949,25543799.0747599);"
115,andaman-&-nicobar-islands,2020,4,744107,9743,18083250.19,"insert into top_trans values (115,'andaman-&-nicobar-islands',2020,4,744107,9743,18083250.1905539);"
116,andaman-&-nicobar-islands,2020,4,744104,7654,19126095.53,"insert into top_trans values (116,'andaman-&-nicobar-islands',2020,4,744104,7654,19126095.5332848);"
117,andaman-&-nicobar-islands,2020,4,744112,7016,15890275.05,"insert into top_trans values (117,'andaman-&-nicobar-islands',2020,4,744112,7016,15890275.0504484);"
118,andaman-&-nicobar-islands,2020,4,744205,5118,12002695.28,"insert into top_trans values (118,'andaman-&-nicobar-islands',2020,4,744205,5118,12002695.2810422);"
119,andaman-&-nicobar-islands,2020,4,744201,5011,6777275.537,"insert into top_trans values (119,'andaman-&-nicobar-islands',2020,4,744201,5011,6777275.53666921);"
